Position,Player,GW1,GW2,GW3,GW4,GW5,GW6,GW7,Total Points,Team,Last Week Price (£m),Median Points,Weighted Avg Points,Chance of Playing Next Week,Appearances,Goals,Assists,Goals per Appearance,Assists per Appearance,Yellow Cards,Red Cards,Discipline Index
Defender,Michael Keane,2.0,8.0,3.0,6.0,1.0,11.0,4.0,35.0,Everton,4.5,4.0,5.16,Likely to Play,7,1,0,0.14,0.0,0,0,0
Defender,Trevoh Chalobah,6.0,8.0,13.0,3.0,8.0,-3.0,0.0,35.0,Chelsea,5.2,6.0,4.29,Likely to Play,7,2,1,0.29,0.14,1,1,3
Defender,Tyrick Mitchell,9.0,1.0,6.0,6.0,8.0,4.0,1.0,35.0,Crystal Palace,5.0,6.0,4.75,Unknown,7,1,0,0.14,0.0,2,0,2
Defender,Chris Richards,6.0,2.0,8.0,6.0,4.0,4.0,3.0,33.0,Crystal Palace,4.5,4.0,4.57,Unknown,7,0,0,0.0,0.0,0,0,0
Defender,Adrien Truffert,0.0,6.0,7.0,2.0,9.0,3.0,5.0,32.0,Bournemouth,4.5,5.0,4.75,Unknown,7,0,1,0.0,0.14,0,0,0
Defender,Cristian Romero,6.0,7.0,2.0,12.0,2.0,2.0,1.0,32.0,Spurs,5.1,2.0,4.17,Unknown,7,0,1,0.0,0.14,3,0,3
Defender,James Tarkowski,4.0,8.0,3.0,8.0,3.0,1.0,5.0,32.0,Everton,5.5,4.0,4.4,Unknown,7,0,0,0.0,0.0,1,0,1
Defender,Micky van de Ven,6.0,6.0,1.0,14.0,1.0,2.0,2.0,32.0,Spurs,4.8,2.0,4.25,Unknown,7,1,0,0.14,0.0,1,0,1
Defender,Joe Rodon,7.0,2.0,7.0,4.0,2.0,7.0,1.0,30.0,Leeds,4.0,4.0,4.08,Likely to Play,7,1,0,0.14,0.0,0,0,0
Defender,Pedro Porro Sauceda,6.0,5.0,4.0,6.0,1.0,1.0,7.0,30.0,Spurs,5.6,5.0,4.16,Unknown,7,0,1,0.0,0.14,1,0,1
Forward,Erling Haaland,13.0,2.0,9.0,13.0,9.0,16.0,8.0,70.0,Man City,14.4,9.0,10.21,Likely to Play,7,9,1,1.29,0.14,0,0,0
Forward,João Pedro Junqueira de Jesus,2.0,15.0,9.0,7.0,2.0,2.0,2.0,39.0,Chelsea,7.7,2.0,5.05,Unknown,7,2,3,0.29,0.43,0,0,0
Forward,Jarrod Bowen,2.0,2.0,9.0,2.0,9.0,9.0,2.0,35.0,West Ham,7.7,2.0,5.22,Unknown,7,3,0,0.43,0.0,0,0,0
Forward,Hugo Ekitiké,11.0,9.0,2.0,2.0,8.0,0.0,1.0,33.0,Liverpool,8.7,2.0,4.05,Likely to Play,7,3,1,0.43,0.14,0,0,0
Forward,Igor Thiago Nascimento Rodrigues,6.0,2.0,6.0,1.0,2.0,13.0,2.0,32.0,Brentford,6.0,2.0,4.67,Unknown,7,4,0,0.57,0.0,2,0,2
Forward,Richarlison de Andrade,13.0,4.0,2.0,1.0,9.0,2.0,1.0,32.0,Spurs,6.8,2.0,4.05,Unknown,7,3,1,0.43,0.14,1,0,1
Forward,Wilson Isidor,5.0,1.0,8.0,2.0,9.0,2.0,1.0,28.0,Sunderland,5.6,2.0,3.86,Unknown,7,3,0,0.43,0.0,0,0,0
Forward,Viktor Gyökeres,1.0,12.0,1.0,6.0,2.0,2.0,2.0,26.0,Arsenal,9.0,2.0,3.46,Unknown,7,3,0,0.43,0.0,1,0,1
Forward,Chris Wood,13.0,2.0,2.0,1.0,2.0,2.0,2.0,24.0,Nott'm Forest,7.4,2.0,2.9,Unknown,7,2,0,0.29,0.0,0,0,0
Forward,Nick Woltemade,0.0,0.0,0.0,9.0,2.0,7.0,6.0,24.0,Newcastle,7.1,6.5,5.89,Unknown,4,3,0,0.75,0.0,0,0,0
Forward,Benjamin Sesko,1.0,1.0,1.0,2.0,1.0,8.0,9.0,23.0,Man Utd,7.3,1.0,3.89,Unknown,7,2,0,0.29,0.0,0,0,0
Forward,Francisco Evanilson de Lima Barbosa,1.0,2.0,8.0,5.0,2.0,2.0,2.0,22.0,Bournemouth,7.0,2.0,3.1,Unknown,7,1,1,0.14,0.14,1,0,1
Forward,Lyle Foster,2.0,2.0,6.0,2.0,6.0,2.0,1.0,21.0,Burnley,5.0,2.0,2.95,Likely to Play,7,1,1,0.14,0.14,2,0,2
Forward,Jean-Philippe Mateta,1.0,2.0,5.0,2.0,6.0,2.0,2.0,20.0,Crystal Palace,7.5,2.0,2.92,Unknown,7,2,0,0.29,0.0,2,0,2
Forward,Ollie Watkins,2.0,2.0,2.0,2.0,2.0,8.0,2.0,20.0,Aston Villa,8.7,2.0,3.05,Likely to Play,7,1,0,0.14,0.0,0,0,0
Forward,Danny Welbeck,1.0,0.0,2.0,2.0,1.0,11.0,1.0,18.0,Brighton,6.3,1.0,2.9,Unknown,7,2,0,0.29,0.0,2,0,2
Forward,Dominic Calvert-Lewin,0.0,0.0,1.0,2.0,11.0,2.0,2.0,18.0,Leeds,5.5,2.0,3.24,Likely to Play,6,1,1,0.17,0.17,0,0,0
Forward,Norberto Bercique Gomes Betuncal,2.0,0.0,7.0,2.0,1.0,2.0,1.0,15.0,Everton,5.4,2.0,2.06,Unknown,7,1,0,0.14,0.0,1,0,1
Forward,Rodrigo Muniz Carvalho,7.0,0.0,1.0,2.0,5.0,0.0,0.0,15.0,Fulham,5.5,1.0,1.87,Out,7,1,1,0.14,0.14,1,0,1
Forward,Eliezer Mayenda Dossou,8.0,2.0,2.0,0.0,1.0,0.0,1.0,14.0,Sunderland,5.5,1.0,1.59,Unknown,7,1,0,0.14,0.0,0,0,0
Goalkeeper,Nick Pope,9.0,4.0,5.0,8.0,6.0,2.0,7.0,41.0,Newcastle,5.1,6.0,5.71,Unknown,7,0,1,0.0,0.14,1,0,1
Goalkeeper,Robin Roefs,8.0,1.0,8.0,10.0,2.0,10.0,2.0,41.0,Sunderland,4.6,8.0,5.76,Unknown,7,0,0,0.0,0.0,1,0,1
Goalkeeper,Guglielmo Vicario,9.0,9.0,3.0,8.0,1.0,2.0,3.0,35.0,Spurs,5.1,3.0,4.46,Unknown,7,0,0,0.0,0.0,0,0,0
Goalkeeper,David Raya Martín,10.0,6.0,2.0,6.0,2.0,2.0,6.0,34.0,Arsenal,5.6,6.0,4.54,Unknown,7,0,0,0.0,0.0,1,0,1
Goalkeeper,Jordan Pickford,2.0,15.0,1.0,6.0,1.0,2.0,3.0,30.0,Everton,5.5,2.0,3.92,Unknown,7,0,0,0.0,0.0,0,0,0
Goalkeeper,Dean Henderson,6.0,2.0,7.0,6.0,1.0,3.0,2.0,27.0,Crystal Palace,5.0,3.0,3.6,Unknown,7,0,0,0.0,0.0,1,0,1
Goalkeeper,Đorđe Petrović,2.0,6.0,5.0,2.0,6.0,3.0,3.0,27.0,Bournemouth,4.5,3.0,3.83,Unknown,7,0,0,0.0,0.0,1,0,1
Goalkeeper,Caoimhín Kelleher,1.0,5.0,1.0,2.0,1.0,8.0,3.0,21.0,Brentford,4.5,2.0,3.19,Likely to Play,7,0,0,0.0,0.0,1,0,1
Goalkeeper,Alisson Becker,1.0,1.0,8.0,6.0,2.0,2.0,0.0,20.0,Liverpool,5.5,2.0,2.75,Out,7,0,0,0.0,0.0,0,0,0
